"collected_at","owner","repo","views","unique_visitors","clones","unique_cloners","stars","forks"
"2026-04-25T16:27:20.2500191Z","Tenormusica2024","huggingface-daily-insights-api","11","8","181","92","0","0"
"2026-04-25T16:27:20.2500191Z","Tenormusica2024","7-agent-parallel-code-review","7","1","11","11","1","0"
"2026-04-25T16:27:20.2500191Z","Tenormusica2024","Tenormusica2024","4","2","92","53","0","0"
"2026-04-25T16:27:20.2500191Z","Tenormusica2024","claude-review-pdca","4","3","38","20","0","0"
"2026-04-25T16:27:20.2500191Z","Tenormusica2024","portfolio","3","3","948","337","1","0"
"2026-04-25T16:27:20.2500191Z","Tenormusica2024","claude-code-hooks","3","1","105","50","0","0"
"2026-04-25T16:27:20.2500191Z","Tenormusica2024","review-fix-pipeline","2","1","231","95","0","0"
"2026-04-25T16:27:20.2500191Z","Tenormusica2024","voicevox-mcp-notification","2","1","27","22","1","0"
"2026-04-25T16:27:20.2500191Z","Tenormusica2024","mermaid-hover-viewer","2","2","17","15","0","0"
"2026-04-25T16:27:20.2500191Z","Tenormusica2024","neon-charts","1","1","777","186","1","0"
"2026-04-25T16:27:20.2500191Z","Tenormusica2024","Claude-Skills","1","1","7","7","0","0"
"2026-04-25T16:27:20.2500191Z","Tenormusica2024","photo-gallery","0","0","225","85","0","0"
"2026-04-25T16:27:20.2500191Z","Tenormusica2024","x-bookmark-knowledge-pack","0","0","119","62","0","0"
"2026-04-25T16:27:20.2500191Z","Tenormusica2024","gittrend-jp","0","0","36","30","0","0"
"2026-04-25T16:27:20.2500191Z","Tenormusica2024","zerocost-lp","0","0","31","28","0","0"
"2026-04-25T16:27:20.2500191Z","Tenormusica2024","doc-freshness-analyzer","0","0","23","18","0","0"
"2026-04-25T16:27:20.2500191Z","Tenormusica2024","claude-session-manager","0","0","20","18","0","0"
"2026-04-25T16:27:20.2500191Z","Tenormusica2024","mcphub-api","0","0","17","17","0","0"
"2026-04-25T16:27:20.2500191Z","Tenormusica2024","snip-hotkey","0","0","16","13","0","0"
"2026-04-25T16:27:20.2500191Z","Tenormusica2024","beauty-salon-sample","0","0","10","10","0","0"
"2026-04-25T16:27:20.2500191Z","Tenormusica2024","claude-worktree-parallel-dev","0","0","9","8","1","0"
"2026-04-25T16:27:20.2500191Z","Tenormusica2024","ai-screen-capture-tools","0","0","7","7","0","0"
"2026-04-25T16:27:20.2500191Z","Tenormusica2024","universal-ci-pipeline","0","0","7","7","0","0"
"2026-04-25T16:31:53.7767333Z","Tenormusica2024","huggingface-daily-insights-api","11","8","181","92","0","0"
"2026-04-25T16:31:53.7767333Z","Tenormusica2024","7-agent-parallel-code-review","7","1","11","11","1","0"
"2026-04-25T16:31:53.7767333Z","Tenormusica2024","Tenormusica2024","4","2","92","53","0","0"
"2026-04-25T16:31:53.7767333Z","Tenormusica2024","claude-review-pdca","4","3","38","20","0","0"
"2026-04-25T16:31:53.7767333Z","Tenormusica2024","portfolio","3","3","948","337","1","0"
"2026-04-25T16:31:53.7767333Z","Tenormusica2024","claude-code-hooks","3","1","105","50","0","0"
"2026-04-25T16:31:53.7767333Z","Tenormusica2024","review-fix-pipeline","2","1","231","95","0","0"
"2026-04-25T16:31:53.7767333Z","Tenormusica2024","voicevox-mcp-notification","2","1","27","22","1","0"
"2026-04-25T16:31:53.7767333Z","Tenormusica2024","mermaid-hover-viewer","2","2","17","15","0","0"
"2026-04-25T16:31:53.7767333Z","Tenormusica2024","neon-charts","1","1","777","186","1","0"
"2026-04-25T16:31:53.7767333Z","Tenormusica2024","Claude-Skills","1","1","7","7","0","0"
"2026-04-25T16:31:53.7767333Z","Tenormusica2024","photo-gallery","0","0","225","85","0","0"
"2026-04-25T16:31:53.7767333Z","Tenormusica2024","x-bookmark-knowledge-pack","0","0","119","62","0","0"
"2026-04-25T16:31:53.7767333Z","Tenormusica2024","gittrend-jp","0","0","36","30","0","0"
"2026-04-25T16:31:53.7767333Z","Tenormusica2024","zerocost-lp","0","0","31","28","0","0"
"2026-04-25T16:31:53.7767333Z","Tenormusica2024","doc-freshness-analyzer","0","0","23","18","0","0"
"2026-04-25T16:31:53.7767333Z","Tenormusica2024","claude-session-manager","0","0","20","18","0","0"
"2026-04-25T16:31:53.7767333Z","Tenormusica2024","mcphub-api","0","0","17","17","0","0"
"2026-04-25T16:31:53.7767333Z","Tenormusica2024","snip-hotkey","0","0","16","13","0","0"
"2026-04-25T16:31:53.7767333Z","Tenormusica2024","beauty-salon-sample","0","0","10","10","0","0"
"2026-04-25T16:31:53.7767333Z","Tenormusica2024","claude-worktree-parallel-dev","0","0","9","8","1","0"
"2026-04-25T16:31:53.7767333Z","Tenormusica2024","ai-screen-capture-tools","0","0","7","7","0","0"
"2026-04-25T16:31:53.7767333Z","Tenormusica2024","universal-ci-pipeline","0","0","7","7","0","0"
